,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-1공구(정산),,,,
구       분,규     격,단위, 수량 ,비  고
"       (4). 각형맨홀4호, 현장타설콘크리트",1800x1675,ea, - ,
"       (5). 각형맨홀5호, 현장타설콘크리트",1800x1875,ea, - ,
"       (6). 각형맨홀6호, 현장타설콘크리트",1800x2075,ea, - ,
"       (7). 각형맨홀7호, 현장타설콘크리트",1800x2275,ea, - ,
"       (8). 각형맨홀8호, 현장타설콘크리트",1800x2475,ea, - ,
"       (9). 각형맨홀9호, 현장타설콘크리트",2475x2475,ea, - ,
   3) 우수받이,,, - ,
       (1). 우수받이,400×700mm,ea, 159.00 ,
       (2). 우수관 보호콘크리트,,ea, 131.00 ,
   4) 프라이머 방수,,, - ,
       (1). 외부,4415,m2, 220.75 ,
       (2). 내부,2882,m2, 144.10 ,
4. 배수관 날개벽,,, - ,
   1) 배수관 날개벽 D=400mm,,ea, - ,
   2) 배수관 날개벽 D=630mm,,ea, - ,
   3) 배수관 날개벽 D=1300mm,,ea, - ,
   4) 배수관 날개벽 D=1400mm,,ea, - ,
   5) 배수관 날개벽 D=1600mm,,ea, - ,
   6) 배수관 날개벽 D=1700mm,,ea, - ,
   7) 배수관 날개벽 D=1800mm,,ea, - ,
5 우수부대공,,, - ,
   1) 관로표식테이프,,m," 20,470.00 ",
   2) 물푸기,,hr, - ,
   3). 수밀검사,,ea, - ,
,,, - ,
,,, - ,
4. 오수공,,, - ,
1. 토공,,, - ,
   1) 터파기,,m3, 549.00 ,
   2) 되메우기(기계+인력),,m3, 468.00 ,
   3) 되메우기(인력),,m3, 49.00 ,
2. 관로,,, - ,
   1). UPVC관,,, - ,
"       (1). UPVC관,공칭직경200mm","Φ200mm,모래기초360˚",m, - ,
"       (2). UPVC관,공칭직경315mm","Φ315mm,모래기초360˚",m, 80.00 ,
"       (3). UPVC관,공칭직경400mm","Φ400mm,모래기초360˚",m,,
"       (4). UPVC관,공칭직경500mm","Φ500mm,모래기초360˚",m, 1.00 ,
   2) GRP관,,, - ,
"       (1). GRP관,공칭직경600mm","D600mm,모래기초360˚",m, - ,
"       (2). GRP관,공칭직경700mm","Φ700mm,모래기초360˚",m,,
"       (3). GRP관,공칭직경800mm","Φ800mm,모래기초360˚",m, - ,
"       (4). GRP관,공칭직경900mm","Φ900mm,모래기초360˚",m, 21.00 ,
"       (5). GRP관,공칭직경1000mm","Φ1000mm,모래기초360˚",m, - ,
"       (6). GRP관,공칭직경1200mm","Φ1200mm,모래기초360˚",m, - ,
"       (7). GRP관,공칭직경1300mm","Φ1300mm,모래기초360˚",m, - ,
"       (8). GRP관,공칭직경1500mm","Φ1500mm,모래기초360˚",m, - ,
"       (9). GRP압력관,공칭직경1500mm","Φ1500mm(압력관),모래기초360˚",m, - ,
   3) 분기연결관,,, - ,
       (1). 분기관 설치,,ea, - ,
3. 오수맨홀,,, - ,
   1). 원형맨홀,,, - ,
"       (1). 원형맨홀1호,현장타설콘크리트",D=1200mm,ea, 1.00 ,
"       (2). 원형맨홀1호,현장타설콘크리트",D=1200mm(분기),ea, - ,
"       (3). 원형맨홀2호,현장타설콘크리트",D=1350mm,ea, - ,
"       (4). 원형맨홀3호,현장타설콘크리트",D=1500mm,ea, - ,
"       (5). 원형맨홀4호,현장타설콘크리트",D=1800mm,ea, - ,
"       (6). 원형맨홀6호,현장타설콘크리트",D=2100mm,ea, - ,
   2). 각형맨홀,,, - ,
"       (1). 각형맨홀1호, 현장타설콘크리트",1200×1075,ea, - ,
"       (2). 각형맨홀2호, 현장타설콘크리트",1300×1225,ea, - ,
"       (3). 각형맨홀3호, 현장타설콘크리트",1500×1475,ea, - ,
"       (4). 각형맨홀4호, 현장타설콘크리트",1800×1675,ea, - ,
"       (5). 각형맨홀5호, 현장타설콘크리트",1800×1875,ea, - ,
"       (6). 각형맨홀6호, 현장타설콘크리트",1800×2075,ea, - ,
"       (7). 각형맨홀7호, 현장타설콘크리트",1800×2275,ea, - ,
   3). 부관맨홀,,, - ,
       (1). 부관맨홀 D200,,ea, - ,
       (2). 부관맨홀 D315,,ea, - ,
       (3). 부관맨홀 D400,,ea, - ,
   4) 프라이머 방수,,, - ,
       (1). 외부,2816,m2, - ,
       (2). 내부,1849,m2, - ,
 4. 부대공,,, - ,
   1). 관로표식테이프,"흑갈색, 10cm",m," 11,580.00 ",
   2). 물푸기,,hr, - ,
   3). 수압시험,,ea, - ,
   4). 수밀검사,,ea, - ,
   5). Trunk Line  환기구 설치,,ea, - ,
,,, - ,
5. 상수공,,, - ,
1. 토공,,, - ,
   1). 터파기,,m3," 14,205.00 ",
   2). 되메우기(기계+인력),,m3," 7,649.00 ",
   3). 되메우기(인력),,m3," 4,103.00 ",
2. 관로공,,, - ,
   1). GRP pipe,,, - ,
"       (1). GRP pipe,공칭직경 250mm","Ø250mm, 모래기초360˚",m, 666.00 ,
"       (2). GRP pipe,공칭직경 300mm","Ø300mm, 모래기초360˚",m," 1,710.00 ",
"       (3). GRP pipe,공칭직경 400mm","Ø400mm, 모래기초360˚",m, 730.00 ,
"       (4). GRP pipe,공칭직경 500mm","Ø500mm, 모래기초360˚",m," 1,445.00 ",
"       (5). GRP pipe,공칭직경 600mm","D600mm,모래기초360˚",m, - ,
"       (6). GRP pipe,공칭직경 700mm","Ø700mm, 모래기초360˚",m, 643.00 ,
"       (7). GRP pipe,공칭직경 800mm","D800mm,모래기초360˚",m, - ,
"       (8). GRP pipe,공칭직경 900mm","Ø900mm, 모래기초360˚",m, - ,
"       (9). GRP pipe,공칭직경 1,000mm","Ø1,000mm, 모래기초360˚",m, - ,
"       (10). GRP pipe,공칭직경 1,200mm","Ø1,200mm, 모래기초360˚",m, - ,
"       (11). GRP pipe,공칭직경 1,600mm","Ø1,600mm, 모래기초360˚",m, - ,
   2). HDPE pipe,,, - ,
"       (1). HDPE pipe,공칭직경 63mm",,m, 386.00 ,
"       (2). HDPE pipe,공칭직경 90mm",,m, 412.00 ,
"       (3). HDPE pipe,공칭직경 110mm",,m, 45.00 ,
"       (4). HDPE pipe,공칭직경 160mm",,m, - ,
"       (5). HDPE pipe,공칭직경 225mm",,m, - ,
   3). 소화전 설치,,ea, 23.00 ,
3. 변실,,, - ,
