,,,,
,,,,
,,,,
공 사 명 : 부지조성공사 3-2공구 잔여(정산),,,,
구       분,규     격,단위, 수량 ,비  고
,,,,
,,,,
1. 토공,,,,
2. 포장공,,,,
3. 우수공,,,,
4. 오수공,,,,
5. 상수공,,,,
6. 공동구,,,,
7. 전기/통신/가로등(전기공사 제외),,,,
8. Irrigation공(메인관로),,,,
9. 기타공,,,,
10. Priority,,,,
11. 오수중계펌프장,,,,
12. 우수빗물펌프장,,,,
,,,,
[  직 접 공 사 비 계 ],,,,
,,,,
,,,,
,,,,
4. 오수공,0,0, - ,
1. 토공,,, - ,
   1) 터파기,,m3, - ,
   2) 되메우기(기계+인력),,m3, - ,
   3) 되메우기(인력),,m3, - ,
2. 관로,,, - ,
   1). UPVC관,,, - ,
"       (1). UPVC관,공칭직경200mm","Φ200mm,모래기초360˚",m, - ,
"       (2). UPVC관,공칭직경315mm","Φ315mm,모래기초360˚",m, - ,
"       (3). UPVC관,공칭직경400mm","Φ400mm,모래기초360˚",m, - ,
"       (4). UPVC관,공칭직경500mm","Φ500mm,모래기초360˚",m, - ,
   2) GRP관,,, - ,
"       (1). GRP관,공칭직경600mm","D600mm,모래기초360˚",m, - ,
"       (2). GRP관,공칭직경700mm","Φ700mm,모래기초360˚",m, 15.00 ,
"       (3). GRP관,공칭직경800mm","Φ800mm,모래기초360˚",m, - ,
"       (4). GRP관,공칭직경900mm","Φ900mm,모래기초360˚",m, - ,
"       (5). GRP관,공칭직경1000mm","Φ1000mm,모래기초360˚",m, - ,
"       (6). GRP관,공칭직경1200mm","Φ1200mm,모래기초360˚",m, - ,
"       (7). GRP관,공칭직경1300mm","Φ1300mm,모래기초360˚",m, - ,
"       (8). GRP관,공칭직경1500mm","Φ1500mm,모래기초360˚",m, - ,
"       (9). GRP압력관,공칭직경1500mm","Φ1500mm(압력관),모래기초360˚",m, - ,
3. 오수맨홀,,, - ,
   1). 원형맨홀,,, - ,
"       (1). 원형맨홀1호,현장타설콘크리트",D=1200mm,ea, 2.00 ,
"       (2). 원형맨홀1호,현장타설콘크리트",D=1200mm(분기),ea, - ,
"       (3). 원형맨홀2호,현장타설콘크리트",D=1350mm,ea, - ,
"       (4). 원형맨홀3호,현장타설콘크리트",D=1500mm,ea, 3.00 ,
"       (5). 원형맨홀4호,현장타설콘크리트",D=1800mm,ea, - ,
"       (6). 원형맨홀6호,현장타설콘크리트",D=2100mm,ea, - ,
   2). 각형맨홀,,, - ,
"       (1). 각형맨홀1호, 현장타설콘크리트",1200×1075,ea, - ,
"       (2). 각형맨홀2호, 현장타설콘크리트",1300×1225,ea, - ,
"       (3). 각형맨홀3호, 현장타설콘크리트",1500×1475,ea, - ,
"       (4). 각형맨홀4호, 현장타설콘크리트",1800×1675,ea, - ,
"       (5). 각형맨홀5호, 현장타설콘크리트",1800×1875,ea, - ,
"       (6). 각형맨홀6호, 현장타설콘크리트",1800×2075,ea, - ,
"       (7). 각형맨홀7호, 현장타설콘크리트",1800×2275,ea, - ,
   4) 프라이머 방수,0,0, - ,
       (1). 외부,0,m2, 147.00 ,
       (1). 내부,0,m2," 1,133.00 ",
 4. 부대공,,, - ,
   1). 관로표식테이프,"흑갈색, 10cm",m," 1,334.00 ",
